AERmon,od440aer,1850,2020
EdayZ,hus,1950,1954
day,clt,1950,1999
EdayZ,hus,1955,1959
EdayZ,hus,1960,1964
Emon,cLand,1850,2020
EdayZ,hus,1965,1969
EdayZ,hus,1970,1974
Emon,cSoil,1850,2020
AERmon,od550aer,1850,2020
EdayZ,hus,1975,1979
Emon,cropFracC3,1850,2020
6hrPlevPt,psl,1950,1959
EdayZ,hus,1980,1984
Eday,ts,1850,1899
CFmon,hur,1850,1869
EdayZ,hus,1985,1989
Emon,fracLut,1850,2020
Amon,cl,1850,1869
EdayZ,hus,1990,1994
Emon,grassFracC3,1850,2020
day,clt,2000,2020
EdayZ,hus,1995,1999
Emon,grassFracC4,1850,2020
EdayZ,hus,2000,2004
EdayZ,hus,2005,2009
CFmon,hur,1870,1889
Emon,nwdFracLut,1850,2020
EdayZ,hus,2010,2014
EdayZ,hus,2015,2019
EdayZ,hus,2020,2020
6hrPlevPt,psl,1960,1969
EdayZ,ta,1950,1954
Amon,cl,1870,1889
EdayZ,ta,1955,1959
EdayZ,ta,1960,1964
EdayZ,ta,1965,1969
EdayZ,ta,1970,1974
day,hfls,1950,1999
EdayZ,ta,1975,1979
EdayZ,ta,1980,1984
EdayZ,ta,1985,1989
AERmon,pfull,1850,1869
EdayZ,ta,1990,1994
EdayZ,ta,1995,1999
Amon,cl,1890,1909
day,hfls,2000,2020
EdayZ,ta,2000,2004
EdayZ,ta,2005,2009
CFmon,hur,1890,1909
EdayZ,ta,2010,2014
EdayZ,ta,2015,2019
3hr,huss,1950,1959
EdayZ,ta,2020,2020
Eday,ts,1900,1949
EdayZ,va,1950,1954
EdayZ,va,1955,1959
Emon,somint,1850,2020
EdayZ,va,1960,1964
CFmon,hur,1910,1929
Amon,cl,1910,1929
EdayZ,va,1965,1969
Emon,treeFracBdlDcd,1850,2020
EdayZ,va,1970,1974
Emon,treeFracBdlEvg,1850,2020
EdayZ,va,1975,1979
Emon,treeFracNdlDcd,1850,2020
EdayZ,va,1980,1984
6hrPlevPt,psl,1970,1979
Emon,treeFracNdlEvg,1850,2020
EdayZ,va,1985,1989
EdayZ,va,1990,1994
Amon,cl,1930,1949
Emon,vegFrac,1850,2020
EdayZ,va,1995,1999
Emon,vegHeight,1850,2020
EdayZ,va,2000,2004
EdayZ,va,2005,2009
Emon,wetlandFrac,1850,2020
EdayZ,va,2010,2014
CFmon,hur,1930,1949
6hrPlevPt,psl,1980,1989
EdayZ,va,2015,2019
EdayZ,va,2020,2020
3hr,huss,1960,1969
Eday,ts,1950,1999
CFmon,hur,1950,1969
Amon,cl,1950,1969
day,hfss,1950,1999
AERmon,pfull,1870,1889
Eyr,baresoilFrac,1850,2020
CFmon,hur,1970,1989
Eyr,cropFrac,1850,2020
Eyr,fracLut,1850,2020
3hr,huss,1970,1979
Eyr,grassFrac,1850,2020
AERmon,pfull,1890,1909
Eyr,shrubFrac,1850,2020
Eday,ts,2000,2020
6hrPlevPt,psl,1990,1999
Eyr,treeFrac,1850,2020
CFmon,hur,1990,2009
Eyr,vegFrac,1850,2020
Amon,cl,1970,1989
AERmon,pfull,1910,1929
CFmon,hur,2010,2020
CFmon,hus,1850,1869
day,hfss,2000,2020
Amon,cl,1990,2009
fx,areacella,1850,2020
CFmon,hus,1870,1889
fx,orog,1850,2020
fx,sftgif,1850,2020
AERmon,pfull,1930,1949
fx,sftlf,1850,2020
fx,zfull,1850,2020
6hrPlevPt,psl,2000,2009
AERmon,pfull,1950,1969
Amon,cl,2010,2020
LImon,sftgif,1850,2020
LImon,snm,1850,2020
LImon,snw,1850,2020
day,hur,1950,1954
AERmon,pfull,1970,1989
6hrPlevPt,psl,2010,2019
3hr,huss,1980,1989
6hrPlevPt,psl,2020,2020
CFmon,hus,1890,1909
Lmon,baresoilFrac,1850,2020
Lmon,c3PftFrac,1850,2020
Lmon,c4PftFrac,1850,2020
day,hur,1955,1959
Lmon,cLitter,1850,2020
6hrPlevPt,ta,1950,1950
Lmon,cProduct,1850,2020
AERmon,pfull,1990,2009
CFmon,hus,1910,1929
Lmon,cVeg,1850,2020
Lmon,cropFrac,1850,2020
Amon,cli,1850,1869
CFmon,hus,1930,1949
Lmon,gpp,1850,2020
Lmon,grassFrac,1850,2020
day,hur,1960,1964
Lmon,lai,1850,2020
6hrPlevPt,ta,1951,1951
AERmon,pfull,2010,2020
Lmon,mrro,1850,2020
Lmon,mrso,1850,2020
CFmon,hus,1950,1969
Lmon,mrsos,1850,2020
3hr,huss,1990,1999
Amon,cli,1870,1889
CFmon,hus,1970,1989
Lmon,nbp,1850,2020
AERmon,phalf,1850,1869
Lmon,npp,1850,2020
Lmon,residualFrac,1850,2020
Amon,cli,1890,1909
6hrPlevPt,ta,1952,1952
Lmon,rh,1850,2020
Lmon,shrubFrac,1850,2020
Amon,cli,1910,1929
day,hur,1965,1969
Lmon,treeFrac,1850,2020
CFmon,hus,1990,2009
6hrPlevPt,ta,1953,1953
Oday,omldamax,1850,1859
Amon,cli,1930,1949
6hrPlevPt,ta,1954,1954
AERmon,phalf,1870,1889
CFmon,hus,2010,2020
Amon,cli,1950,1969
Ofx,areacello,1850,2020
6hrPlevPt,ta,1955,1955
Oday,omldamax,1860,1869
Ofx,basin,1850,2020
CFmon,ta,1850,1869
Ofx,deptho,1850,2020
Ofx,masscello,1850,2020
Ofx,sftof,1850,2020
Oday,omldamax,1870,1879
6hrPlevPt,ta,1956,1956
Ofx,thkcello,1850,2020
Amon,cli,1970,1989
Ofx,volcello,1850,2020
CFmon,ta,1870,1889
day,hur,1970,1974
Oday,omldamax,1880,1889
Amon,cli,1990,2009
CFmon,ta,1890,1909
6hrPlevPt,ta,1957,1957
3hr,huss,2000,2009
Amon,cli,2010,2020
Omon,agessc,1850,1859
Amon,clivi,1850,2020
CFmon,ta,1910,1929
6hrPlevPt,ta,1958,1958
Amon,clt,1850,2020
Oday,omldamax,1890,1899
CFmon,ta,1930,1949
AERmon,phalf,1890,1909
Omon,agessc,1860,1869
6hrPlevPt,ta,1959,1959
CFmon,ta,1950,1969
day,hur,1975,1979
Oday,omldamax,1900,1909
Amon,clw,1850,1869
Omon,agessc,1870,1879
Oday,omldamax,1910,1919
6hrPlevPt,ta,1960,1960
AERmon,phalf,1910,1929
CFmon,ta,1970,1989
SImon,siareaacrossline,1850,2020
day,hur,1980,1984
SImon,siarean,1850,2020
Oday,omldamax,1920,1929
6hrPlevPt,ta,1961,1961
Amon,clw,1870,1889
SImon,siareas,1850,2020
CFmon,ta,1990,2009
SImon,sicompstren,1850,2020
3hr,huss,2010,2019
CFmon,ta,2010,2020
