fx,areacella,950,1449
Eyr,baresoilFrac,950,1449
Emon,cropFracC3,950,1449
fx,orog,950,1449
LImon,sbl,950,1449
Eyr,cropFrac,950,1449
day,clt,1085,1099
Amon,ci,950,1449
fx,sftgif,950,1449
6hrPlevPt,psl,1085,1089
Eyr,fracLut,950,1449
Emon,fracLut,950,1449
LImon,sftgif,950,1449
3hr,clt,1085,1089
fx,sftlf,950,1449
fx,zfull,950,1449
Eyr,grassFrac,950,1449
LImon,snm,950,1449
Emon,grassFracC3,950,1449
Eyr,shrubFrac,950,1449
3hr,clt,1090,1099
LImon,snw,950,1449
Eyr,treeFrac,950,1449
Emon,grassFracC4,950,1449
day,clt,1100,1114
6hrPlevPt,psl,1090,1099
Eyr,vegFrac,950,1449
Amon,cl,1010,1029
day,hfls,1085,1099
Emon,intuaw,950,1449
6hrPlevPt,psl,1100,1109
Lmon,baresoilFrac,950,1449
3hr,clt,1100,1109
6hrPlevPt,psl,1110,1114
Lmon,c3PftFrac,950,1449
day,hfls,1100,1114
3hr,clt,1110,1114
Lmon,c4PftFrac,950,1449
day,hfss,1085,1099
6hrPlevPt,rv850,1085,1089
Lmon,cropFrac,950,1449
Lmon,evspsblsoi,950,1449
6hrPlevPt,rv850,1090,1099
Lmon,grassFrac,950,1449
3hr,hfls,1085,1089
Lmon,landCoverFrac,950,1449
6hrPlevPt,rv850,1100,1109
Lmon,mrfso,950,1449
Lmon,mrro,950,1449
6hrPlevPt,rv850,1110,1114
Lmon,mrros,950,1449
6hrPlevPt,ta,1085,1085
Lmon,mrso,950,1449
6hrPlevPt,ta,1086,1086
Lmon,mrsos,950,1449
Lmon,residualFrac,950,1449
6hrPlevPt,ta,1087,1087
Lmon,shrubFrac,950,1449
3hr,hfls,1090,1099
Lmon,treeFrac,950,1449
Lmon,tsl,1050,1149
6hrPlevPt,ta,1088,1088
Lmon,tsl,1150,1249
6hrPlevPt,ta,1089,1089
Lmon,tsl,1250,1349
6hrPlevPt,ta,1090,1090
Lmon,tsl,1350,1449
6hrPlevPt,ta,1091,1091
Lmon,tsl,950,1049
6hrPlevPt,ta,1092,1092
Ofx,areacello,950,1449
6hrPlevPt,ta,1093,1093
Ofx,basin,950,1449
Ofx,deptho,950,1449
6hrPlevPt,ta,1094,1094
Ofx,masscello,950,1449
Ofx,sftof,950,1449
6hrPlevPt,ta,1095,1095
Ofx,thkcello,950,1449
Ofx,volcello,950,1449
6hrPlevPt,ta,1096,1096
6hrPlevPt,ta,1097,1097
6hrPlevPt,ta,1098,1098
6hrPlevPt,ta,1099,1099
Emon,intvaw,950,1449
day,hfss,1100,1114
6hrPlevPt,ta,1100,1100
Oday,tos,1000,1009
Emon,mrsol,1050,1149
Omon,agessc,1000,1009
6hrPlevPt,ta,1101,1101
day,hur,1085,1089
Emon,mrsol,1150,1249
Omon,agessc,1010,1019
Emon,mrsol,1250,1349
6hrPlevPt,ta,1102,1102
Oday,tos,1010,1019
Emon,mrsol,1350,1449
6hrPlevPt,ta,1103,1103
Emon,mrsol,950,1049
Omon,agessc,1020,1029
day,hur,1090,1094
6hrPlevPt,ta,1104,1104
Emon,nwdFracLut,950,1449
Oday,tos,1020,1029
Oday,tos,1030,1039
6hrPlevPt,ta,1105,1105
day,hur,1095,1099
6hrPlevPt,ta,1106,1106
Omon,agessc,1030,1039
day,hur,1100,1104
Emon,ocontempdiff,1000,1009
day,hur,1105,1109
Omon,agessc,1040,1049
Emon,ocontempdiff,1010,1019
day,hur,1110,1114
Omon,agessc,1050,1059
Emon,ocontempdiff,1020,1029
day,hurs,1000,1049
day,hurs,1050,1099
Emon,ocontempdiff,1030,1039
day,hurs,1100,1149
Amon,cl,1030,1049
Amon,cl,1050,1069
Amon,cl,1070,1089
Emon,ocontempdiff,1040,1049
Oday,tos,1040,1049
Amon,cl,1090,1109
Omon,agessc,1060,1069
Amon,cl,1110,1129
Oday,tos,1050,1059
Omon,agessc,1070,1079
Emon,ocontempdiff,1050,1059
Amon,cl,1130,1149
Omon,agessc,1080,1089
Oday,tos,1060,1069
Emon,ocontempdiff,1060,1069
Oday,tos,1070,1079
Omon,agessc,1090,1099
Emon,ocontempdiff,1070,1079
Amon,cl,1150,1169
Oday,tos,1080,1089
Omon,agessc,1100,1109
Amon,cl,1170,1189
Emon,ocontempdiff,1080,1089
Omon,agessc,1110,1119
Oday,tos,1090,1099
Amon,cl,1190,1209
Emon,ocontempdiff,1090,1099
Oday,tos,1100,1109
3hr,hfls,1100,1109
Omon,agessc,1120,1129
Oday,tos,1110,1119
Amon,cl,1210,1229
Emon,ocontempdiff,1100,1109
Omon,agessc,1130,1139
3hr,hfls,1110,1114
Amon,cl,1230,1249
6hrPlevPt,ta,1107,1107
Oday,tos,1120,1129
6hrPlevPt,ta,1108,1108
6hrPlevPt,ta,1109,1109
Amon,cl,1250,1269
Oday,tos,1130,1139
3hr,hfss,1085,1089
6hrPlevPt,ta,1110,1110
6hrPlevPt,ta,1111,1111
Amon,cl,1270,1289
Oday,tos,1140,1149
6hrPlevPt,ta,1112,1112
6hrPlevPt,ta,1113,1113
6hrPlevPt,ta,1114,1114
Emon,ocontempdiff,1110,1119
3hr,hfss,1090,1099
6hrPlevPt,ua,1085,1085
Amon,cl,1290,1309
Omon,agessc,1140,1149
Oday,tos,1150,1159
6hrPlevPt,ua,1086,1086
Amon,cl,1310,1329
6hrPlevPt,ua,1087,1087
Emon,ocontempdiff,1120,1129
Omon,agessc,1150,1159
6hrPlevPt,ua,1088,1088
6hrPlevPt,ua,1089,1089
Omon,agessc,1160,1169
3hr,hfss,1100,1109
6hrPlevPt,ua,1090,1090
Emon,ocontempdiff,1130,1139
6hrPlevPt,ua,1091,1091
Omon,agessc,1170,1179
6hrPlevPt,ua,1092,1092
3hr,hfss,1110,1114
6hrPlevPt,ua,1093,1093
Emon,ocontempdiff,1140,1149
6hrPlevPt,ua,1094,1094
Omon,agessc,1180,1189
3hr,huss,1085,1089
Emon,ocontempdiff,1150,1159
6hrPlevPt,ua,1095,1095
day,hurs,1150,1199
6hrPlevPt,ua,1096,1096
6hrPlevPt,ua,1097,1097
day,hurs,1200,1249
Emon,ocontempdiff,1160,1169
6hrPlevPt,ua,1098,1098
6hrPlevPt,ua,1099,1099
Emon,ocontempdiff,1170,1179
3hr,huss,1090,1099
day,hurs,1250,1299
6hrPlevPt,ua,1100,1100
6hrPlevPt,ua,1101,1101
6hrPlevPt,ua,1102,1102
day,hurs,1300,1349
6hrPlevPt,ua,1103,1103
6hrPlevPt,ua,1104,1104
day,hurs,1350,1399
6hrPlevPt,ua,1105,1105
6hrPlevPt,ua,1106,1106
day,hurs,1400,1449
6hrPlevPt,ua,1107,1107
6hrPlevPt,ua,1108,1108
day,hurs,950,999
6hrPlevPt,ua,1109,1109
day,hursmax,1085,1099
6hrPlevPt,ua,1110,1110
day,hursmax,1100,1114
6hrPlevPt,ua,1111,1111
6hrPlevPt,ua,1112,1112
6hrPlevPt,ua,1113,1113
day,hursmin,1000,1049
