Amon,ci,1850,2014
Emon,cropFracC3,1850,2014
Emon,fracLut,1850,2014
Emon,grassFracC3,1850,2014
Emon,grassFracC4,1850,2014
Amon,cl,1850,1869
Emon,intuaw,1850,2014
Emon,intvaw,1850,2014
Emon,mrsol,1850,1949
Emon,mrsol,1950,2014
Emon,nwdFracLut,1850,2014
day,clt,1950,1999
Emon,orog,1850,2014
Emon,rls,1850,2014
day,clt,2000,2014
Amon,cl,1870,1889
6hrPlevPt,psl,1950,1959
3hr,clt,1960,1969
Emon,rss,1850,2014
Emon,treeFracBdlDcd,1850,2014
CF3hr,rsuscs,1950,1959
Emon,treeFracBdlEvg,1850,2014
Emon,treeFracNdlDcd,1850,2014
Emon,treeFracNdlEvg,1850,2014
3hr,clt,1970,1979
Emon,vegFrac,1850,2014
Emon,wetlandFrac,1850,2014
Amon,cl,1890,1909
day,hfls,1950,1999
6hrPlevPt,psl,1960,1969
3hr,clt,1980,1989
day,hfls,2000,2014
Amon,cl,1910,1929
CF3hr,rsuscs,1960,1969
Amon,cl,1930,1949
day,hfss,1950,1999
6hrPlevPt,psl,1970,1979
CF3hr,rsuscs,1970,1979
day,hfss,2000,2014
Amon,cl,1950,1969
3hr,clt,1990,1999
day,hur,1950,1954
Amon,cl,1970,1989
6hrPlevPt,psl,1980,1989
day,hur,1955,1959
3hr,clt,2000,2009
6hrPlevPt,psl,1990,1999
Amon,cl,1990,2009
CF3hr,rsuscs,1980,1989
day,hur,1960,1964
6hrPlevPt,psl,2000,2009
Amon,cl,2010,2014
3hr,clt,2010,2014
6hrPlevPt,psl,2010,2014
CF3hr,rsuscs,1990,1999
day,hur,1965,1969
6hrPlevPt,rv850,1950,1959
day,hur,1970,1974
6hrPlevPt,rv850,1960,1969
Amon,cli,1850,1869
CF3hr,rsuscs,2000,2009
6hrPlevPt,rv850,1970,1979
3hr,hfls,1960,1969
day,hur,1975,1979
day,hur,1980,1984
6hrPlevPt,rv850,1980,1989
Amon,cli,1870,1889
CF3hr,rsuscs,2010,2014
day,hur,1985,1989
6hrPlevPt,rv850,1990,1999
Amon,cli,1890,1909
6hrPlevPt,rv850,2000,2009
Amon,cli,1910,1929
3hr,hfls,1970,1979
day,hur,1990,1994
6hrPlevPt,rv850,2010,2014
6hrLev,hus,1950,1950
6hrPlevPt,ta,1950,1950
Amon,cli,1930,1949
6hrPlevPt,ta,1951,1951
Eyr,baresoilFrac,1850,2014
Eyr,cropFrac,1850,2014
Eyr,fracLut,1850,2014
Eyr,grassFrac,1850,2014
Amon,cli,1950,1969
Eyr,shrubFrac,1850,2014
Eyr,treeFrac,1850,2014
Eyr,vegFrac,1850,2014
6hrPlevPt,ta,1952,1952
day,hur,1995,1999
fx,areacella,1850,2014
fx,orog,1850,2014
fx,sftgif,1850,2014
fx,sftlf,1850,2014
fx,zfull,1850,2014
day,hur,2000,2004
day,hur,2005,2009
LImon,sbl,1850,2014
6hrPlevPt,ta,1953,1953
Amon,cli,1970,1989
LImon,sftgif,1850,2014
LImon,snm,1850,2014
6hrPlevPt,ta,1954,1954
LImon,snw,1850,2014
Amon,cli,1990,2009
day,hur,2010,2014
6hrPlevPt,ta,1955,1955
Amon,cli,2010,2014
3hr,hfls,1980,1989
6hrPlevPt,ta,1956,1956
Amon,clivi,1850,2014
6hrPlevPt,ta,1957,1957
day,hurs,1850,1899
6hrPlevPt,ta,1958,1958
Amon,clt,1850,2014
6hrPlevPt,ta,1959,1959
Amon,clw,1850,1869
day,hurs,1900,1949
6hrPlevPt,ta,1960,1960
Amon,clw,1870,1889
6hrPlevPt,ta,1961,1961
6hrPlevPt,ta,1962,1962
Amon,clw,1890,1909
day,hurs,1950,1999
