Amon,ci,2015,2100
AERmon,od440aer,2015,2100
AERmon,od550aer,2015,2100
day,clt,2015,2064
6hrPlevPt,psl,2015,2024
3hr,clt,2015,2024
day,clt,2065,2100
Amon,cl,2015,2034
CF3hr,rsuscs,2015,2024
Emon,cropFracC3,2015,2100
Emon,fracLut,2015,2100
Emon,grassFracC3,2015,2100
Emon,grassFracC4,2015,2100
day,hfls,2015,2064
Emon,intuaw,2015,2100
6hrPlevPt,psl,2025,2034
CF3hr,rsuscs,2025,2034
Emon,intvaw,2015,2100
Emon,mrsol,2015,2100
6hrPlevPt,psl,2035,2044
Emon,nwdFracLut,2015,2100
day,hfls,2065,2100
Emon,rls,2015,2100
Emon,rss,2015,2100
CF3hr,rsuscs,2035,2044
6hrPlevPt,psl,2045,2054
Emon,treeFracBdlDcd,2015,2100
Emon,treeFracBdlEvg,2015,2100
Emon,treeFracNdlDcd,2015,2100
Emon,treeFracNdlEvg,2015,2100
Emon,vegFrac,2015,2100
Emon,wetlandFrac,2015,2100
6hrPlevPt,psl,2055,2064
day,hfss,2015,2064
6hrPlevPt,psl,2065,2074
6hrPlevPt,psl,2075,2084
6hrLev,hus,2015,2015
day,hfss,2065,2100
3hr,clt,2025,2034
Amon,cl,2035,2054
Amon,cl,2055,2074
day,hur,2015,2019
6hrPlevPt,psl,2085,2094
CF3hr,rsuscs,2045,2054
Amon,cl,2075,2094
Eyr,baresoilFrac,2015,2100
Eyr,cropFrac,2015,2100
Eyr,fracLut,2015,2100
Eyr,grassFrac,2015,2100
Amon,cl,2095,2100
Eyr,shrubFrac,2015,2100
6hrPlevPt,psl,2095,2100
Eyr,treeFrac,2015,2100
Eyr,vegFrac,2015,2100
3hr,clt,2035,2044
Amon,cli,2015,2034
6hrPlevPt,rv850,2015,2024
day,hur,2020,2024
6hrPlevPt,rv850,2025,2034
fx,areacella,2015,2100
Amon,cli,2035,2054
fx,orog,2015,2100
fx,sftgif,2015,2100
fx,sftlf,2015,2100
fx,zfull,2015,2100
day,hur,2025,2029
6hrPlevPt,rv850,2035,2044
LImon,sbl,2015,2100
3hr,clt,2045,2054
LImon,sftgif,2015,2100
LImon,snm,2015,2100
LImon,snw,2015,2100
CF3hr,rsuscs,2055,2064
6hrPlevPt,rv850,2045,2054
6hrPlevPt,rv850,2055,2064
3hr,clt,2055,2064
CF3hr,rsuscs,2065,2074
day,hur,2030,2034
Amon,cli,2055,2074
3hr,clt,2065,2074
Lmon,baresoilFrac,2015,2100
Lmon,c3PftFrac,2015,2100
Lmon,c4PftFrac,2015,2100
6hrPlevPt,rv850,2065,2074
Lmon,cropFrac,2015,2100
day,hur,2035,2039
Lmon,evspsblsoi,2015,2100
Lmon,grassFrac,2015,2100
CF3hr,rsuscs,2075,2084
6hrPlevPt,rv850,2075,2084
day,hur,2040,2044
Lmon,landCoverFrac,2015,2100
Lmon,mrfso,2015,2100
Lmon,mrro,2015,2100
3hr,clt,2075,2084
Amon,cli,2075,2094
Lmon,mrros,2015,2100
Lmon,mrso,2015,2100
Lmon,mrsos,2015,2100
Lmon,residualFrac,2015,2100
Lmon,shrubFrac,2015,2100
Amon,cli,2095,2100
CF3hr,rsuscs,2085,2094
day,hur,2045,2049
Lmon,treeFrac,2015,2100
6hrPlevPt,rv850,2085,2094
Amon,clivi,2015,2100
Amon,clt,2015,2100
Lmon,tsl,2015,2100
3hr,clt,2085,2094
6hrPlevPt,rv850,2095,2100
CF3hr,rsuscs,2095,2100
6hrPlevPt,ta,2015,2015
Amon,clw,2015,2034
6hrPlevPt,ta,2016,2016
3hr,clt,2095,2100
day,hur,2050,2054
6hrPlevPt,ta,2017,2017
6hrPlevPt,ta,2018,2018
Amon,clw,2035,2054
6hrPlevPt,ta,2019,2019
6hrPlevPt,ta,2020,2020
Amon,clw,2055,2074
day,hur,2055,2059
6hrPlevPt,ta,2021,2021
6hrPlevPt,ta,2022,2022
Amon,clw,2075,2094
Amon,clw,2095,2100
6hrPlevPt,ta,2023,2023
day,hur,2060,2064
Amon,evspsbl,2015,2100
6hrPlevPt,ta,2024,2024
Amon,hfls,2015,2100
6hrPlevPt,ta,2025,2025
Amon,hfss,2015,2100
day,hur,2065,2069
3hr,hfls,2015,2024
6hrPlevPt,ta,2026,2026
6hrPlevPt,ta,2027,2027
Amon,hur,2015,2100
Amon,hurs,2015,2100
6hrLev,hus,2016,2016
day,hur,2070,2074
6hrPlevPt,ta,2028,2028
6hrPlevPt,ta,2029,2029
Amon,hus,2015,2100
6hrPlevPt,ta,2030,2030
day,hur,2075,2079
Amon,huss,2015,2100
6hrPlevPt,ta,2031,2031
Amon,pfull,2015,2100
Amon,phalf,2015,2100
Amon,pr,2015,2100
6hrPlevPt,ta,2032,2032
day,hur,2080,2084
Amon,prc,2015,2100
6hrPlevPt,ta,2033,2033
Amon,prsn,2015,2100
Oclim,difvho,2015,2100
Amon,prw,2015,2100
6hrPlevPt,ta,2034,2034
3hr,hfls,2025,2034
Amon,ps,2015,2100
6hrPlevPt,ta,2035,2035
Amon,psl,2015,2100
Amon,rlds,2015,2100
6hrPlevPt,ta,2036,2036
day,hur,2085,2089
Amon,rldscs,2015,2100
Amon,rlus,2015,2100
6hrPlevPt,ta,2037,2037
Amon,rlut,2015,2100
Amon,rlutcs,2015,2100
Oday,tos,2015,2024
day,hur,2090,2094
6hrPlevPt,ta,2038,2038
Amon,rsds,2015,2100
Amon,rsdscs,2015,2100
6hrPlevPt,ta,2039,2039
Amon,rsdt,2015,2100
day,hur,2095,2099
Amon,rsus,2015,2100
3hr,hfls,2035,2044
Amon,rsuscs,2015,2100
day,hur,2100,2100
Amon,rsut,2015,2100
Amon,rsutcs,2015,2100
6hrPlevPt,ta,2040,2040
Oday,tos,2025,2034
Amon,rtmt,2015,2100
6hrPlevPt,ta,2041,2041
Amon,sbl,2015,2100
6hrPlevPt,ta,2042,2042
Amon,sci,2015,2100
Amon,sfcWind,2015,2100
6hrPlevPt,ta,2043,2043
day,hurs,2015,2064
Oday,tos,2035,2044
6hrPlevPt,ta,2044,2044
3hr,hfls,2045,2054
6hrPlevPt,ta,2045,2045
day,hurs,2065,2100
6hrPlevPt,ta,2046,2046
Oday,tos,2045,2054
Amon,ta,2015,2100
Amon,tas,2015,2100
Amon,tasmax,2015,2100
6hrPlevPt,ta,2047,2047
day,hursmax,2015,2064
Oday,tos,2055,2064
Amon,tasmin,2015,2100
Amon,tauu,2015,2100
6hrPlevPt,ta,2048,2048
day,hursmax,2065,2100
Amon,tauv,2015,2100
Amon,ts,2015,2100
6hrPlevPt,ta,2049,2049
3hr,hfls,2055,2064
Oday,tos,2065,2074
6hrPlevPt,ta,2050,2050
Amon,ua,2015,2100
6hrPlevPt,ta,2051,2051
Oday,tos,2075,2084
day,hursmin,2015,2064
Amon,uas,2015,2100
6hrLev,hus,2017,2017
6hrPlevPt,ta,2052,2052
Oday,tos,2085,2094
6hrPlevPt,ta,2053,2053
day,hursmin,2065,2100
6hrPlevPt,ta,2054,2054
3hr,hfls,2065,2074
6hrPlevPt,ta,2055,2055
Oday,tos,2095,2100
Amon,va,2015,2100
6hrPlevPt,ta,2056,2056
day,hus,2015,2019
Amon,vas,2015,2100
6hrPlevPt,ta,2057,2057
6hrPlevPt,ta,2058,2058
day,hus,2020,2024
Oday,tossq,2015,2024
6hrPlevPt,ta,2059,2059
6hrPlevPt,ta,2060,2060
3hr,hfls,2075,2084
6hrPlevPt,ta,2061,2061
Amon,wap,2015,2100
Oday,tossq,2025,2034
6hrPlevPt,ta,2062,2062
day,hus,2025,2029
6hrPlevPt,ta,2063,2063
6hrPlevPt,ta,2064,2064
Amon,zg,2015,2100
Oday,tossq,2035,2044
6hrPlevPt,ta,2065,2065
6hrPlevPt,ta,2066,2066
day,hus,2030,2034
6hrPlevPt,ta,2067,2067
6hrPlevPt,ta,2068,2068
3hr,hfls,2085,2094
6hrPlevPt,ta,2069,2069
Oday,tossq,2045,2054
day,hus,2035,2039
6hrPlevPt,ta,2070,2070
Oday,tossq,2055,2064
6hrLev,hus,2018,2018
6hrPlevPt,ta,2071,2071
6hrPlevPt,ta,2072,2072
6hrPlevPt,ta,2073,2073
Oday,tossq,2065,2074
6hrPlevPt,ta,2074,2074
Oday,tossq,2075,2084
3hr,hfls,2095,2100
6hrPlevPt,ta,2075,2075
3hr,hfss,2015,2024
6hrPlevPt,ta,2076,2076
day,hus,2040,2044
6hrPlevPt,ta,2077,2077
