Notes		Notes on tables
Notes	Request Version	01.00.31beta
Notes	MIPs (...)	The last two columns in each row list MIPs associated with each variable. The first column in this pair lists the MIPs which are requesting the variable in one or more experiments. The second column lists the MIPs proposing experiments in which this variable is requested. E.g. If a variable is requested in a DECK experiment by HighResMIP, then HighResMIP appears in the first column and DECK in the second
Notes	Table	Reference Volume (1 deg. atmosphere, 0.5 deg. ocean)
Notes	Amon	99G
Notes	Efx	0M
Notes	Emon	10G
Notes	Eyr	802M
Notes	LImon	1G
Notes	Lmon	9G
Notes	Oday	83G
Notes	Ofx	208M
Notes	Omon	8.8T
Notes	Oyr	1.0T
Notes	SIday	125G
Notes	SImon	44G
Notes	day	83G
Notes	fx	17M
MIP table	Priority	Long name	units	description	comment	Variable Name	CF Standard Name	cell_methods	positive	type	dimensions	CMOR Name	modeling_realm	frequency	cell_measures	prov	provNote	rowIndex	UID	vid	stid	Structure Title	valid_min	valid_max	ok_min_mean_abs	ok_max_mean_abs	MIPs (requesting)	MIPs (by experiment)	Number of Years	Slice Type	Years	Grid	
Amon	Lowest priority value set in request for this variable for this experiment	NetCDF Global Attribute			Name of variable in file			CMOR directive			CMOR name, unique within table										CMOR variable identifier	MIP variable identifier	Structure identifier										
Amon	1	Near-Surface Air Temperature	K	near-surface (usually, 2 meter) air temperature		tas	air_temperature	area: time: mean		real	longitude latitude time height2m	tas	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	14	bab9237c-e5dd-11e5-8482-ac72891c3257	5c4978e802ba55d5a298cf1b3bdc2b3a	f7e1ef26-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] {:height2m} [tmean]	170.0 r	350.0 r	255.0 r	295.0 r	AerChemMIP,C4MIP,CDRMIP,CFMIP,CMIP,DAMIP,DCPP,DynVarMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,PAMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	Surface Temperature	K	Temperature of the lower boundary of the atmosphere	Surface temperature (skin for open ocean)	ts	surface_temperature	area: time: mean		real	longitude latitude time	ts	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	15	babaef0e-e5dd-11e5-8482-ac72891c3257	90c49fce92dc1f21647dad07d1342843	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]	170.0 r	340.0 r	255.0 r	295.0 r	AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,PAMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	Daily Minimum Near-Surface Air Temperature	K	minimum near-surface (usually, 2 meter) air temperature (add cell_method attribute 'time: min')	monthly mean of the daily-minimum near-surface air temperature.	tasmin	air_temperature	area: mean time: minimum within days time: mean over days		real	longitude latitude time height2m	tasmin	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	16	bab955ea-e5dd-11e5-8482-ac72891c3257	cce3dd39c138bf3c4d713263cc2e6cff	f7e03122-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] {:height2m} [dmin]	165.0 r	345.0 r	250.0 r	290.0 r	AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,PAMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	Daily Maximum Near-Surface Air Temperature	K	maximum near-surface (usually, 2 meter) air temperature (add cell_method attribute 'time: max')	monthly mean of the daily-maximum near-surface air temperature.	tasmax	air_temperature	area: mean time: maximum within days time: mean over days		real	longitude latitude time height2m	tasmax	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	17	bab942a8-e5dd-11e5-8482-ac72891c3257	2dd48e8c50b4b88a83ff07d308e4e642	f7e04194-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] {:height2m} [dmax]	175.0 r	355.0 r	260.0 r	300.0 r	AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,PAMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	Sea Level Pressure	Pa	Sea Level Pressure	not, in general, the same as surface pressure	psl	air_pressure_at_mean_sea_level	area: time: mean		real	longitude latitude time	psl	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	18	bab48ce0-e5dd-11e5-8482-ac72891c3257	3d23c359f44d6a153c4dcab9e07d7cb6	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]	91000.0 r	109000.0 r	96000.0 r	106000.0 r	AerChemMIP,C4MIP,CDRMIP,CFMIP,CMIP,DAMIP,DCPP,DynVarMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PAMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	Surface Air Pressure	Pa	surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates	not, in general, the same as mean sea-level pressure	ps	surface_air_pressure	area: time: mean		real	longitude latitude time	ps	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	19	bab47b56-e5dd-11e5-8482-ac72891c3257	8c9504d28596e05586c8e193082ac617	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]	47500.0 r	112000.0 r	93000.0 r	100000.0 r	AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PAMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	Precipitation	kg m-2 s-1	includes both liquid and solid phases	at surface; includes both liquid and solid phases from all types of clouds (both large-scale and convective)	pr	precipitation_flux	area: time: mean		real	longitude latitude time	pr	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	25	bab3cb52-e5dd-11e5-8482-ac72891c3257	62f26742cf240c1b5169a5cd511196b6	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]	-1e-06 r	0.0015 r	1.5e-05 r	4e-05 r	AerChemMIP,C4MIP,CDRMIP,CFMIP,CMIP,DAMIP,DCPP,DynVarMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,PAMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	Snowfall Flux	kg m-2 s-1	At surface; includes precipitation of all forms of water in the solid phase	at surface; includes precipitation of all forms of water in the solid phase	prsn	snowfall_flux	area: time: mean		real	longitude latitude time	prsn	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	26	bab42b88-e5dd-11e5-8482-ac72891c3257	051919eddec810e292c883205c944ceb	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]	-1e-06 r	0.0008 r	1e-06 r	8e-06 r	AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,PAMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	Evaporation Including Sublimation and Transpiration	kg m-2 s-1	Evaporation at surface (also known as evapotranspiration): flux of water into the atmosphere due to conversion of both liquid and solid phases to vapor (from underlying surface and vegetation)	at surface; flux of water into the atmosphere due to conversion of both liquid and solid phases to vapor (from underlying surface and vegetation)	evspsbl	water_evapotranspiration_flux	area: time: mean		real	longitude latitude time	evspsbl	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	28	baad45c0-e5dd-11e5-8482-ac72891c3257	089961a3af4d54d5fb045cf3750e760c	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]					AerChemMIP,C4MIP,CDRMIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,PAMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	Surface Downward Eastward Wind Stress	Pa	Downward eastward wind stress at the surface		tauu	surface_downward_eastward_stress	area: time: mean	down	real	longitude latitude time	tauu	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	30	bab96cc4-e5dd-11e5-8482-ac72891c3257	3abb7c5b4c4650e9d17a8439004aebea	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]	-10.0 r	10.0 r	0.01 r	0.2 r	AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PAMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
