Notes		Notes on tables
Notes	Request Version	01.00.31beta
Notes	MIPs (...)	The last two columns in each row list MIPs associated with each variable. The first column in this pair lists the MIPs which are requesting the variable in one or more experiments. The second column lists the MIPs proposing experiments in which this variable is requested. E.g. If a variable is requested in a DECK experiment by HighResMIP, then HighResMIP appears in the first column and DECK in the second
Notes	Table	Reference Volume (1 deg. atmosphere, 0.5 deg. ocean)
Notes	AERmon	15G
Notes	Amon	19G
Notes	CFmon	4G
Notes	Efx	0M
Notes	Emon	1G
Notes	Eyr	81M
Notes	LImon	139M
Notes	Lmon	2G
Notes	Ofx	7M
Notes	Omon	19G
Notes	SIday	2G
Notes	SImon	279M
Notes	day	12G
Notes	fx	1M
MIP table	Priority	Long name	units	description	comment	Variable Name	CF Standard Name	cell_methods	positive	type	dimensions	CMOR Name	modeling_realm	frequency	cell_measures	prov	provNote	rowIndex	UID	vid	stid	Structure Title	valid_min	valid_max	ok_min_mean_abs	ok_max_mean_abs	MIPs (requesting)	MIPs (by experiment)	Number of Years	Slice Type	Years	Grid	
AERmon	Lowest priority value set in request for this variable for this experiment	NetCDF Global Attribute			Name of variable in file			CMOR directive			CMOR name, unique within table										CMOR variable identifier	MIP variable identifier	Structure identifier										
AERmon	1	Ambient Aerosol Absorption Optical Thickness at 550nm	1	Optical thickness of atmospheric aerosols at wavelength 550 nanometers.		abs550aer	atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles	area: time: mean		real	longitude latitude time lambda550nm	abs550aer	aerosol	mon	area: areacella	AERmon ((isd.003))	AERmon-oth	-1	19bebf2a-81b1-11e6-92de-ac72891c3257	0baf6a333b91c4db341b515c28cd2c05	dabd02ac-16f4-11e8-b44a-a44cc8186c64	Temporal mean, Global field (single level) [XY-na] {:lambda550nm} [am-tm]					AerChemMIP,CFMIP,CMIP,DAMIP,GeoMIP,HighResMIP,PMIP,RFMIP,VIACSAB	AerChemMIP,RFMIP	All			
AERmon	1	Aerosol Water Mass Mixing Ratio	kg kg-1	Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X). 'Aerosol' means the system of suspended liquid or solid particles in air (except cloud droplets) and their carrier gas, the air itself. 'Ambient_aerosol' means that the aerosol is measured or modelled at the ambient state of pressure, temperature and relative humidity that exists in its immediate environment. 'Ambient aerosol particles' are aerosol particles that have taken up ambient water through hygroscopic growth. The extent of hygroscopic growth depends on the relative humidity and the composition of the particles.		mmraerh2o	mass_fraction_of_water_in_ambient_aerosol_particles_in_air	area: time: mean		real	longitude latitude alevel time	mmraerh2o	aerosol	mon	area: areacella	AERmon ((isd.003))	AERmon-3d	-1	19c04782-81b1-11e6-92de-ac72891c3257	e3fdfe758c0165caf74dcbb2531c83b3	62eebe98-1617-11e7-a126-5404a60d96b5	Temporal mean, Global field on model atmosphere levels [XY-A]					AerChemMIP,DAMIP,GeoMIP,RFMIP	AerChemMIP,RFMIP	All			
AERmon	1	Elemental Carbon Mass Mixing Ratio	kg kg-1	Dry mass fraction of black carbon aerosol particles in air.		mmrbc	mass_fraction_of_elemental_carbon_dry_aerosol_particles_in_air	area: time: mean		real	longitude latitude alevel time	mmrbc	aerosol	mon	area: areacella	AERmon ((isd.003))	AERmon-3d	-1	19bf20dc-81b1-11e6-92de-ac72891c3257	d63c4dd912d79edc6221c0e09da24a79	62eebe98-1617-11e7-a126-5404a60d96b5	Temporal mean, Global field on model atmosphere levels [XY-A]					AerChemMIP,CFMIP,DAMIP,PMIP,RFMIP	AerChemMIP,RFMIP	All			
AERmon	1	Dust Aerosol Mass Mixing Ratio	kg kg-1	Dry mass fraction of dust aerosol particles in air.		mmrdust	mass_fraction_of_dust_dry_aerosol_particles_in_air	area: time: mean		real	longitude latitude alevel time	mmrdust	aerosol	mon	area: areacella	AERmon ((isd.003))	AERmon-3d	-1	19bed91a-81b1-11e6-92de-ac72891c3257	dcecb293537e640a0bfc8f88a92967fe	62eebe98-1617-11e7-a126-5404a60d96b5	Temporal mean, Global field on model atmosphere levels [XY-A]					AerChemMIP,CFMIP,DAMIP,GeoMIP,PMIP,RFMIP	AerChemMIP,RFMIP	All			
AERmon	1	NO3 Aerosol Mass Mixing Ratio	kg kg-1	Dry mass fraction of nitrate aerosol particles in air.		mmrno3	mass_fraction_of_nitrate_dry_aerosol_particles_in_air	area: time: mean		real	longitude latitude alevel time	mmrno3	aerosol	mon	area: areacella	AERmon ((isd.003))	AERmon-3d	-1	19be4810-81b1-11e6-92de-ac72891c3257	11619ca70c37ffd25d5b234c03ca4d4f	62eebe98-1617-11e7-a126-5404a60d96b5	Temporal mean, Global field on model atmosphere levels [XY-A]					AerChemMIP,CFMIP,DAMIP,RFMIP	AerChemMIP,RFMIP	All			
AERmon	1	Total Organic Aerosol Mass Mixing Ratio	kg kg-1	We recommend a scale factor of POM=1.4*OC, unless your model has more detailed info available.		mmroa	mass_fraction_of_particulate_organic_matter_dry_aerosol_particles_in_air	area: time: mean		real	longitude latitude alevel time	mmroa	aerosol	mon	area: areacella	AERmon ((isd.003))	AERmon-3d	-1	19bfcf6e-81b1-11e6-92de-ac72891c3257	79433cf8854f00ee833d6c2979fa5eb1	62eebe98-1617-11e7-a126-5404a60d96b5	Temporal mean, Global field on model atmosphere levels [XY-A]					AerChemMIP,CFMIP,DAMIP,RFMIP	AerChemMIP,RFMIP	All			
AERmon	1	Aerosol Sulfate Mass Mixing Ratio	kg kg-1	Dry mass of sulfate (SO4) in aerosol particles as a fraction of air mass.		mmrso4	mass_fraction_of_sulfate_dry_aerosol_particles_in_air	area: time: mean		real	longitude latitude alevel time	mmrso4	aerosol	mon	area: areacella	AERmon ((isd.003))	AERmon-3d	-1	19bea9f4-81b1-11e6-92de-ac72891c3257	fe6ca6e8-a41f-11e5-9025-ac72891c3257	62eebe98-1617-11e7-a126-5404a60d96b5	Temporal mean, Global field on model atmosphere levels [XY-A]					AerChemMIP,CFMIP,DAMIP,PMIP,RFMIP	AerChemMIP,RFMIP	All			
AERmon	1	Secondary Organic Aerosol Mass Mixing Ratio	kg kg-1	Mass fraction in the atmosphere of secondary organic aerosols (particulate organic matter formed within the atmosphere from gaseous precursors; dry mass).		mmrsoa	mass_fraction_of_secondary_particulate_organic_matter_dry_aerosol_particles_in_air	area: time: mean		real	longitude latitude alevel time	mmrsoa	aerosol	mon	area: areacella	AERmon ((isd.003))	AERmon-3d	-1	19bf1006-81b1-11e6-92de-ac72891c3257	8c58644da8e357d61b70eac2a0afb4f9	62eebe98-1617-11e7-a126-5404a60d96b5	Temporal mean, Global field on model atmosphere levels [XY-A]					AerChemMIP,CFMIP,DAMIP,RFMIP	AerChemMIP,RFMIP	All			
AERmon	1	Sea-Salt Aerosol Mass Mixing Ratio	kg kg-1	Mass fraction in the atmosphere of sea salt aerosol (dry mass).		mmrss	mass_fraction_of_sea_salt_dry_aerosol_particles_in_air	area: time: mean		real	longitude latitude alevel time	mmrss	aerosol	mon	area: areacella	AERmon ((isd.003))	AERmon-3d	-1	19bed1f4-81b1-11e6-92de-ac72891c3257	5980f8e283fd4709e4542c0652756dc1	62eebe98-1617-11e7-a126-5404a60d96b5	Temporal mean, Global field on model atmosphere levels [XY-A]					AerChemMIP,CFMIP,DAMIP,GeoMIP,PMIP,RFMIP	AerChemMIP,RFMIP	All			
AERmon	1	Ambient Aerosol Optical Thickness at 440nm	1	AOD from the ambient aerosols (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types. Needs a comment attribute 'wavelength: 440nm'	AOD from the ambient aerosls (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types. Needs a comment attribute 'wavelength: 440 nm'	od440aer	atmosphere_optical_thickness_due_to_ambient_aerosol_particles	area: time: mean		real	longitude latitude time	od440aer	aerosol	mon	area: areacella	AERmon ((isd.003))	AERmon-oth	-1	19beeb4e-81b1-11e6-92de-ac72891c3257	c5331238e635e9c913da1eb247859206	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]					AerChemMIP,DAMIP,HighResMIP,RFMIP	AerChemMIP,RFMIP	All			
