#MASTER VARIABLE MAP
#cmip_variable,definable_in_access,access_variable(s),calculation,units,axes_modifier,positive,ACCESS_ver[CM2/ESM/CM2-Chem],realm,notes
#
#...CCMI2022.(ACCESS-CM2-Chem)...
#
##fx
areacella,yes,fld_s02i204,areacella(144),m2,,,CM2-Chem,atmos,
orog,yes,fld_s00i033,,m,,,CM2-Chem,land,
sftgif,yes,fld_s03i317,"tileFracExtract(var[0],17)",1,dropLev,,CM2-Chem,land,
sftlf,yes,fld_s03i395,,1,,,CM2-Chem,atmos,
zfull,yes,fld_s15i101,,m,,,CM2-Chem,atmos,
#
##Amon
ps,yes,fld_s00i409,,Pa,,,CM2-Chem,atmos,
ts,yes,fld_s00i024,,K,,,CM2-Chem,atmos,
clt,yes,fld_s02i261,column_max(var[0]),1,dropZ,,CM2-Chem,atmos,
#cltc,yes,fld_s00i013,,1,,,CM2-Chem,atmos,
cod,yes,fld_s02i457 fld_s02i451,var[0]/var[1],1,,,CM2-Chem,atmos,
ptp,yes,fld_s30i451,,Pa,,,CM2-Chem,atmos,
tatp,yes,fld_s30i452,,K,,,CM2-Chem,atmos,
ztp,yes,fld_s30i453,,m,,,CM2-Chem,atmos,
pr,yes,fld_s05i216,,kg m-2 s-1,,,CM2-Chem,atmos,
hfls,yes,fld_s03i234,,W m-2,,,CM2-Chem,atmos,
hfss,yes,fld_s03i217,,W m-2,,,CM2-Chem,atmos,
rsut,yes,fld_s01i208,,W m-2,,,CM2-Chem,atmos,
rlut,yes,fld_s02i205,,W m-2,,,CM2-Chem,atmos,
toz,yes,fld_s50i219,toz(var[0]*1e-5),m,dropZ,,CM2-Chem,atmos,
tropoz,yes,fld_s52i219 fld_s50i219 fld_s30i451 pressure_0,"tropoz(var[0]*1e-5,var[1]*1e-5,var[2],var[3])",m,dropZ,,CM2-Chem,atmos,
ta,yes,fld_s16i004,,K,,,CM2-Chem,atmos,
zg,yes,fld_s16i201,,m,,,CM2-Chem,atmos,
ua,yes,fld_s00i002,,m s-1,switchlevs,,CM2-Chem,atmos,
va,yes,fld_s00i003,,m s-1,switchlevs,,CM2-Chem,atmos,
wa,yes,fld_s00i150,,m s-1,,,CM2-Chem,atmos,
cl,yes,fld_s02i261,,1,,,CM2-Chem,atmos,
mcu,yes,fld_s05i250,mcu_gravity(var[0]),kg m-2 s-1,switchlevs,up,CM2-Chem,atmos,
tntrl,yes,fld_s02i181,,K s-1,monsecs,,CM2-Chem,atmos,
tntrs,yes,fld_s01i181,,K s-1,monsecs,,CM2-Chem,atmos,
o3,yes,fld_s34i001,var[0]*0.604,mol mol-1,,,CM2-Chem,atmos,
h2o,yes,fld_s00i010,,mol mol-1,,,CM2-Chem,atmos,
meanage,yes,fld_s34i150,,s,,,CM2-Chem,atmos,
ch4,yes,fld_s34i009,var[0]*1.811,mol mol-1,,,CM2-Chem,atmos,
n2o,yes,fld_s34i049,var[0]*0.658,mol mol-1,,,CM2-Chem,atmos,
hcl,yes,fld_s34i992,var[0]*0.793,mol mol-1,,,CM2-Chem,atmos,
co,yes,fld_s34i010,var[0]*1.035,mol mol-1,,,CM2-Chem,atmos,
no,yes,fld_s34i002,var[0]*0.965,mol mol-1,,,CM2-Chem,atmos,
no2,yes,fld_s34i996,var[0]*0.630,mol mol-1,,,CM2-Chem,atmos,
oh,yes,fld_s34i081,var[0]*1.704,mol mol-1,,,CM2-Chem,atmos,
c2h6,yes,fld_s34i014,var[0]*0.965,mol mol-1,,,CM2-Chem,atmos,
#
##Aday
clt,yes,fld_s02i261,column_max(var[0]),1,dropZ,,CM2-Chem,atmos,daily
ua10,yes,fld_s30i201,"extract_lvl(var[0],4)",m s-1,dropZ,,CM2-Chem,atmos,
ua50,yes,fld_s30i201,"extract_lvl(var[0],3)",m s-1,dropZ,,CM2-Chem,atmos,
ua100,yes,fld_s30i201,"extract_lvl(var[0],2)",m s-1,dropZ,,CM2-Chem,atmos,
ua500,yes,fld_s30i201,"extract_lvl(var[0],1)",m s-1,dropZ,,CM2-Chem,atmos,
ua1000,yes,fld_s30i201,"extract_lvl(var[0],0)",m s-1,dropZ,,CM2-Chem,atmos,
va10,yes,fld_s30i202,"extract_lvl(var[0],4)",m s-1,dropZ,,CM2-Chem,atmos,
va50,yes,fld_s30i202,"extract_lvl(var[0],3)",m s-1,dropZ,,CM2-Chem,atmos,
va100,yes,fld_s30i202,"extract_lvl(var[0],2)",m s-1,dropZ,,CM2-Chem,atmos,
va500,yes,fld_s30i202,"extract_lvl(var[0],1)",m s-1,dropZ,,CM2-Chem,atmos,
va1000,yes,fld_s30i202,"extract_lvl(var[0],0)",m s-1,dropZ,,CM2-Chem,atmos,
zg10,yes,fld_s30i297,"extract_lvl(var[0],4)",m,dropZ,,CM2-Chem,atmos,
zg50,yes,fld_s30i297,"extract_lvl(var[0],3)",m,dropZ,,CM2-Chem,atmos,
zg100,yes,fld_s30i297,"extract_lvl(var[0],2)",m,dropZ,,CM2-Chem,atmos,
zg500,yes,fld_s30i297,"extract_lvl(var[0],1)",m,dropZ,,CM2-Chem,atmos,
zg1000,yes,fld_s30i297,"extract_lvl(var[0],0)",m,dropZ,,CM2-Chem,atmos,
ta10,yes,fld_s30i294,"extract_lvl(var[0],4)",K,dropZ,,CM2-Chem,atmos,
ta50,yes,fld_s30i294,"extract_lvl(var[0],3)",K,dropZ,,CM2-Chem,atmos,
