#MASTER VARIABLE MAP - ACCESS-OM2[-025]
#cmip_variable,definable_in_access,access_variable(s),calculation,units,axes_modifier,positive,ACCESS_ver[CM2/ESM/both],realm,notes
#
#...ocean...
agessc,yes,age_global,,yr,,,both,ocean,
areacello,yes,dht,"calc_areacello_om2(1)",m2,dropZ,,OM2,ocean,
areacello,yes,dht,"calc_areacello_om2(025)",m2,dropZ,,OM2-025,ocean,
basin,yes,dht,getBasinMask().filled(0),1,dropZ,,OM2,ocean,
basin,yes,dht,getBasinMask_025().filled(0),1,dropZ,,OM2-025,ocean,
deptho,yes,dht,getdeptho(1),m,dropZ,,OM2,ocean,
deptho,yes,dht,getdeptho(025),m,dropZ,,OM2-025,ocean,
evs,yes,evap,var[0]*-1,kg m-2 s-1,,,both,ocean,
friver,yes,runoff,,kg m-2 s-1,,,both,ocean,
fsitherm,yes,melt,var[0]*(-1),kg m-2 s-1,,,both,ocean seaIce,
hfds,yes,sfc_hflux_from_runoff sfc_hflux_coupler sfc_hflux_from_water_evap sfc_hflux_from_water_prec frazil_2d,var[0]+var[1]+var[2]+var[3]+var[4],W m-2,,,both,ocean,
hfevapds,yes,sfc_hflux_from_water_evap,,W m-2,,,both,ocean,
hfrainds,yes,sfc_hflux_from_water_prec,,W m-2,,,both,ocean,
masscello,yes,rho_dzt,,kg m-2,,,both,ocean,
masso,yes,total_mass_seawater,,kg,scalar dropX,,both,ocean,
mfo,yes,tx_trans ty_trans,"lineTransports(var[0],var[1])",kg s-1,oline dropX dropY dropZ,,OM2,ocean,
mlotst,yes,mld,,m,,,both,ocean,
#msftbarot,yes,psiu tx_trans,"msftbarot(var[0],var[1])",kg s-1,,,both,ocean,psiu-corrupted
pbo,yes,pbot_t,,dbar,,,both,ocean,
prra,yes,lprec,,kg m-2 s-1,,,both,ocean,
prsn,yes,fprec,,kg m-2 s-1,,,both,ocean,
pso,yes,patm_t,,Pa,,,both,ocean,
rsntds,yes,swflx,,W m-2,,,both,ocean,
sftof,yes,dht,oceanFrac_025(),1,dropZ,,OM2-025,ocean,
sftof,yes,dht,oceanFrac(),1,dropZ,,OM2,ocean,
so,yes,salt,,psu,,,both,ocean,
soga,yes,salt_global_ave,,psu,scalar dropX,,both,ocean,
sos,yes,sss,,psu,,,both,ocean,
sossq,yes,sss_sq,,psu2,,,both,ocean,
tauuo,yes,tau_x,,N m-2,,,both,ocean,
tauvo,yes,tau_y,,N m-2,,,both,ocean,
thetao,yes,pot_temp,,degC,,,both,ocean,
thetaoga,yes,pot_temp rho_dzt,"calc_global_ave_ocean_om2(var[0],var[1],025)",degC,dropX dropY dropZ,,OM2-025,ocean,
thetaoga,yes,pot_temp rho_dzt,"calc_global_ave_ocean_om2(var[0],var[1],1)",degC,dropX dropY dropZ,,OM2,ocean,
thkcello,yes,dht,,m,,,both,ocean,
tos,yes,sst,"tos_degC(var[0])",degC,,,both,ocean,
tossq,yes,sst_sq,"tossq_degC(var[0])",degC2,,,both,ocean,
tosga,yes,sst rho_dzt,"tos_degC(calc_global_ave_ocean_om2(var[0],var[1],025))",degC,dropX dropY,,OM2-025,ocean,
tosga,yes,sst rho_dzt,"tos_degC(calc_global_ave_ocean_om2(var[0],var[1],1))",degC,dropX dropY,,OM2,ocean,
umo,yes,tx_trans,,kg s-1,,,both,ocean,
uo,yes,u,,m s-1,,,both,ocean,
vmo,yes,ty_trans,,kg s-1,,,both,ocean,
vo,yes,v,,m s-1,,,both,ocean,
volcello,yes,dht,"calc_volcello_om2(var[0],1)",m3,,,OM2,ocean,
volcello,yes,dht,"calc_volcello_om2(var[0],025)",m3,,,OM2-025,ocean,
volo,yes,total_volume_seawater,,m3,scalar dropX,,both,ocean,
#wfonocorr,no,lprec fprec evap runoff,var[0]+var[1]+var[2]+var[3],kg m-2 s-1,,,both,ocean,
#wfcorr,no,lprec fprec evap runoff pme_river,var[0]+var[1]+var[2]+var[3]-var[4],kg m-2 s-1,,down,both,ocean,
wfo,yes,pme_river,,kg m-2 s-1,,,both,ocean,
wo,yes,wt,,m s-1,,,both,ocean,
wmo,yes,tz_trans,,kg s-1,,,both,ocean,
zos,yes,sea_level,,m,,,both,ocean,
zossq,yes,sea_level_sq,,m2,,,both,ocean,
zostoga,yes,pot_temp dht,"calc_zostoga_om2(var,depth,lat,1)",m,dropX dropY dropZ,,OM2,ocean,
zostoga,yes,pot_temp dht,"calc_zostoga_om2(var,depth,lat,025)",m,dropX dropY dropZ,,OM2-025,ocean,
sosga,yes,salt_surface_ave,,psu,scalar dropX,,both,ocean,
sob,yes,bottom_salt,,psu,,,both,ocean,
obvfsq,yes,bv_freq,var[0]**2,s-2,,,both,ocean,
omldamax,yes,hblt_max,,m,,,both,ocean,
bigthetao,yes,temp,,K,,,both,ocean,
bigthetaoga,yes,temp rho_dzt,"calc_global_ave_ocean_om2(var[0],var[1],025)",K,dropX dropY dropZ,,OM2-025,ocean,
bigthetaoga,yes,temp rho_dzt,"calc_global_ave_ocean_om2(var[0],var[1],1)",K,dropX dropY dropZ,,OM2,ocean,
cfc11,yes,cfc_11,,mol m-3,,,both,ocean,
cfc12,yes,cfc_12,,mol m-3,,,both,ocean,
diftrelo,yes,agm,,m2 s-1,,,both,ocean,
difvho,yes,diff_cbt_t,,m2 s-1,,,both,ocean,
difvmo,yes,visc_cbu,,m2 s-1,,,both,ocean,
difvso,yes,diff_cbt_s,,m2 s-1,,,both,ocean,
fgcfc12,yes,sfc_flux_cfc_12,,mol m-2 s-1,,,both,ocean,
hfbasin,yes,temp_yflux_adv_int_z,"hfbasin(var,025)",W,dropX basin,,OM2-025,ocean,
hfbasinpadv,yes,temp_yflux_gm_int_z,"hfbasin(var,025)",W,dropX basin,,OM2-025,ocean,
hfbasinpmadv,yes,temp_yflux_submeso_int_z,"hfbasin(var,025)",W,dropX basin,,OM2-025,ocean,
hfbasinpmdiff,yes,temp_sigma_diff_yflux_int_z,"hfbasin(var,025)",W,dropX basin,,OM2-025,ocean,
hfbasin,yes,temp_yflux_adv_int_z,"hfbasin(var)",W,dropX basin,,OM2,ocean,
hfbasinpadv,yes,temp_yflux_gm_int_z,"hfbasin(var)",W,dropX basin,,OM2,ocean,
hfbasinpmadv,yes,temp_yflux_submeso_int_z,"hfbasin(var)",W,dropX basin,,OM2,ocean,
hfbasinpmdiff,yes,temp_sigma_diff_yflux_int_z,"hfbasin(var)",W,dropX basin,,OM2,ocean,
hfcorr,yes,ehat_flux_correction,,W m-2,,,both,ocean,
#hfgeou,yes,geo_heat,,W m-2,,,both,ocean,
hflso,yes,evap_heat,,W m-2,,,both,ocean,
hfsso,yes,sens_heat,,W m-2,,,both,ocean,
htovgyre,yes,temp_merid_flux_gyre_global temp_merid_flux_gyre_atlantic temp_merid_flux_gyre_arctic temp_merid_flux_gyre_pacific temp_merid_flux_gyre_indian,basinMeridFlux(var),W,dropX basin,,both,ocean,
htovovrt,yes,temp_merid_flux_over_global temp_merid_flux_over_atlantic temp_merid_flux_over_arctic temp_merid_flux_over_pacific temp_merid_flux_over_indian,basinMeridFlux(var),W,dropX basin,,both,ocean,
sltovgyre,yes,salt_merid_flux_gyre_global salt_merid_flux_gyre_atlantic salt_merid_flux_gyre_arctic salt_merid_flux_gyre_pacific salt_merid_flux_gyre_indian,basinMeridFlux(var),kg/sec,dropX basin,,both,ocean,
sltovovrt,yes,salt_merid_flux_over_global salt_merid_flux_over_atlantic salt_merid_flux_over_arctic salt_merid_flux_over_pacific salt_merid_flux_over_indian,basinMeridFlux(var),kg/sec,dropX basin,,both,ocean,
rlntds,yes,lw_heat,,W/m^2,,,both,ocean,
hfsifrazil2d,yes,frazil_3d_int_z,,W m-2,,,both,ocean seaIce,
msftyrho,yes,ty_trans_rho ty_trans_rho_gm,"meridionalOverturning(var,'full',025)",kg s-1,dropX basin gridlat,,OM2-025,ocean,
msftmrho,yes,ty_trans_rho ty_trans_rho_gm,"meridionalOverturning(var,'full',025)",kg s-1,dropX basin,,OM2-025,ocean,
msftyz,yes,ty_trans ty_trans_gm ty_trans_submeso,"meridionalOverturning(var,'full',025)",kg s-1,dropX basin gridlat,,OM2-025,ocean,
msftmz,yes,ty_trans ty_trans_gm ty_trans_submeso,"meridionalOverturning(var,'full',025)",kg s-1,dropX basin,,OM2-025,ocean,
msftyrho,yes,ty_trans_rho ty_trans_rho_gm,"meridionalOverturning(var,'full')",kg s-1,dropX basin gridlat,,OM2,ocean,
msftmrho,yes,ty_trans_rho ty_trans_rho_gm,"meridionalOverturning(var,'full')",kg s-1,dropX basin,,OM2,ocean,
