#frequency,type,max dimensions,max gridpoints,max file size per year (MB),max years
#yearly,,,,,
yr,2Datmos,145*192,27840,0.1,10
yr,3Datmos,145*192*19,528960,2.0,10
yr,3Dalev,145*192*85,2366400,9.0,50
yr,2Docean,300*360,108000,0.4,50
yr,3Docean,300*360*50,5400000,20.6,50
yr,2Dseaice,300*360,108000,0.4,50
yr,scalar,1,1,<0.1,100
#monthly,,,,,
mon,2Datmos,145*192,27840,1.3,100
mon,3Datmos,145*192*19,528960,24.2,100
mon,3Dalev,145*192*85,2366400,108.3,20
mon,2Docean,300*360,108000,4.9,100
mon,3Docean,300*360*50,5400000,247.2,10
mon,2Dseaice,300*360,108000,4.9,100
mon,clim,145*192*85,2366400,108.3,1000
monClim,clim,300*360*50,5400000,247.2,1000
mon,scalar,1,1,<0.1,1000
#10day,,,,,
10day,2Datmos,145*192,27840,38.8,50
10day,3Datmos,145*192*19,528960,736.5,1
10day,3Dalev,145*192*85,2366400,3294.9,1
10day,scalar,1,1,<0.1,1000
#daily,,,,,
day,2Datmos,145*192,27840,38.8,50
day,3Datmos,145*192*19,528960,736.5,5
day,3Dalev,145*192*85,2366400,3294.9,1
day,2Docean,300*360,108000,150.4,10
day,3Docean,300*360*50,5400000,7518.8,1
day,2Dseaice,300*360,108000,150.4,10
day,scalar,1,1,<0.1,1000
#6hourly,,,,,
6hr,2Datmos,145*192,27840,155.1,10
6hr,3Datmos,145*192*19,528960,2946.0,1
6hr,3Dalev,145*192*85,2366400,13179.6,1
#3hourly,,,,,
3hr,2Datmos,145*192,27840,310.1,10
3hr,3Datmos,145*192*19,528960,5892.0,1
3hr,3Dalev,145*192*85,2366400,26359.1,1
#fx,,,,,
fx,fx,145*192*85,2366400,,1000
